,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
V8,0.3787721167901515,0.15219243793791914,0.20550586307622434,-0.09839770292189985,-0.06970234128894354,-0.10869832931420507,0.2774668219563558,0.19423030734955937,0.029607508818534984,0.42735093144569153,0.3191057371946473,-0.13115367634566277,0.025613893378935788,-0.30751210507718957,-0.09159122452473886,0.08892370077889926,-0.21796990042423606,-0.12183321699631151,0.10856778679414429,0.35469346907018423
S11,-0.019606748370235693,0.5743263969474489,0.2648278434403264,-0.15483621818481524,-0.08807586718219906,-0.05404462242439553,-0.06774231929709276,-0.014464248939683117,-0.00346358042880223,-0.27037970435512504,-0.11617805036681944,0.14786095396482538,-0.0959221477262949,-0.045867940229901746,0.1971466393209626,-0.13009767921834622,0.1614446309712404,0.2380656343947472,0.4342342762766872,0.25351205360198154
S8,-0.09456123806652122,-0.4878737872149848,-0.01023655931016329,0.3423145034271175,0.06664112673909546,-0.0004611578579979639,-0.04596824116214927,-0.030352862272974204,-0.11830849796492678,0.10594011382147393,0.2047942458037557,-0.07474751022085788,0.28251892095505743,-0.33754177934220647,0.0125644633608633,0.18657124910106312,0.03221130025281232,0.36625097103719845,0.19065922506836727,-0.2521457837758119
S9,0.0654605622862397,-0.1355612211661027,-0.047193371271175594,-0.11054967099327238,-0.18552371475921775,0.013851626872942701,0.45563769240961405,0.08196700574752841,0.15058460925065711,-0.36861802581588127,0.11181322196244055,0.4352266791570377,0.19024048673593144,0.04324313017095605,-0.11351985731598344,0.4906169143585366,-0.030244578070395097,0.03803049149203903,-0.08687351731983152,0.035532060903691626
S10,-0.8709761046884783,0.08452442622351045,-0.04107381261688396,-0.024260609754236967,-0.04771201198052095,0.17669645468158632,-0.09184021643765049,0.004896594876694389,0.02178709458048905,-0.10922146356222728,0.030815953230505205,0.004708740563585659,0.018992418534682663,-0.16560994664799947,-0.15859039033734304,-0.02571066652866037,-0.11727711209789944,-0.04242762065570424,-0.01699264870362182,0.07628056711953075
S2,0.04304801748096283,0.4075443514110093,-0.38805701110150953,-0.1393880131020838,-0.07383516643810623,0.06038504018161613,-0.19298532635665194,-0.10814331511331572,0.13872414543612063,0.26630816992147266,0.004534610114333095,0.12290306365039502,0.20859079421828133,0.38887714056488837,-0.27601045667096447,0.19382898263835746,0.12012826988315943,-0.05480500918345065,0.20413099556087558,0.014050963698641885
S1,-0.15754098363486574,-0.532558272627143,0.6880390119781772,0.03821649168230871,0.11294314512988247,0.10340917062441536,0.1912455605597444,0.19225595313492871,-0.027459521148168305,-0.02254527914966638,-0.02284065396451817,0.008745456518777563,-0.14558610159711627,0.101360011281698,-0.10226070683021142,-0.004693962296025044,0.005701589739885839,-0.05034045363788248,0.04372418389459067,-0.09578760089072971
S3,-0.03710824274646937,0.31380418985475983,-0.17313980502569729,0.6711548570139749,-0.30684896748491824,-0.07343680086312016,0.15250746028342813,-0.06490490457281718,0.05509859201960796,-0.0064203251965904,0.0043203992508534135,-0.08149884264900902,-0.3503242005030643,0.08464012014195772,-0.11464816917689544,0.06349391564219962,-0.05679060281488019,0.050270881891978085,0.018072592968326993,0.02046037941399842
S4,-0.0789160628416504,0.26880191903240874,-0.1182222203227435,0.6177667342986377,-0.3081312315411045,-0.09167264439565237,0.1522805889756107,-0.0439528267380525,0.05196104186315237,-0.001235347392639357,0.06287914538132275,-0.06850754831594041,-0.31880321809678885,0.043821634985695725,-0.09868097030143677,0.06363921957367383,0.04410348121832406,0.062279733665359445,0.10424108879778521,-0.11798062554753413
S5,-0.005796469391299886,0.005712664603047139,0.061419475576561924,-0.0821442839084051,-0.08230552174270687,-0.109854943602422,-0.04484260486334718,0.10665373475631666,-0.07076225618657302,-0.4257755685709844,0.5993605135316883,-0.4662743989745675,0.11126338211528804,0.36008280041663443,0.17479603910889477,0.0009077913327696791,-0.03546317947542294,-0.06511175257699021,0.022812543056677244,0.06360556414482968
S7,-0.04950951754387691,0.4471945861559478,-0.16157907193890492,0.7304658955366063,-0.34091423902744183,-0.026843784502929242,0.13214502433623213,0.004719283131448883,0.0816937869076557,-0.0057506986816530095,-0.013071031161565593,-0.012928625876398038,0.0031649096255885545,0.015488007642485398,0.01955871581490493,-0.04298024594763113,-0.03165176411855507,-0.044158498995806574,-0.061738230084990665,0.024555068448864008
S6,-0.013980928085433752,0.4511792790497597,-0.04485885331709419,0.514408995480975,-0.23390087316986732,0.042360806722756376,-0.010821551566736712,0.10559276719784552,0.0638645742671468,-0.0030830993458101155,-0.0626910345445079,0.09378213458454539,0.5252967850579204,-0.0524558013173768,0.17385634357027435,-0.17300084977847713,0.03652963172540046,-0.17004571289802448,-0.14688304499379828,0.004821313193568837
C1,0.1996784005891718,0.10577448668391842,-0.3366362816479203,0.150172591739083,0.2586425330630905,0.4668117535424296,-0.11712863222958957,0.04710662691828817,0.04225484180287943,-0.00962425558286096,0.21283887946574356,0.03997783303843826,-0.17808786796346288,-0.09912277671032584,0.332480768712037,0.319328068561002,0.03006851740032898,0.07416047565186056,-0.06909345496699477,-0.012887142023399701
C2,0.17400627023311208,-0.17679175490672375,-0.14101092107378352,0.10538304423355134,-0.2027844251286225,0.1830662719325369,-0.22829704622348662,0.3855540462301428,-0.40985046350815,-0.05442374531053446,-0.24697476263857648,0.1970336450753103,-0.11349103258305675,0.10179370313780293,0.16938437312080745,0.1284080227842905,-0.2850763560937841,-0.05221259006335883,0.027710663602227147,0.20146759114213128
